# mode	english	candidate	weight	comment
hk	ringtones	鈴聲	900	common-fallback
all	test	测试	900	common-fallback
all	tests	测试	900	common-fallback
hk	test	測試	900	common-fallback
hk	tests	測試	900	common-fallback
jp	test	試験	900	common-fallback
jp	tests	試験	900	common-fallback
all	reply	回复	900	common-fallback
all	replies	回复	900	common-fallback
hk	reply	回覆	900	common-fallback
hk	replies	回覆	900	common-fallback
all	dollar	美元	900	common-fallback
all	dollars	美元	900	common-fallback
all	server	服务器	900	common-fallback
all	servers	服务器	900	common-fallback
hk	server	伺服器	900	common-fallback
hk	servers	伺服器	900	common-fallback
jp	server	サーバー	820	common-fallback
jp	servers	サーバー	820	common-fallback
all	minute	分鐘	900	common-fallback
all	minutes	分鐘	900	common-fallback
zh	minute	分钟	900	common-fallback
zh	minutes	分钟	900	common-fallback
all	computer	电脑	900	common-fallback
all	computers	电脑	900	common-fallback
hk	computer	電腦	900	common-fallback
hk	computers	電腦	900	common-fallback
jp	computer	計算機	900	common-fallback
jp	computers	計算機	900	common-fallback
all	car	车	900	common-fallback
all	cars	车	900	common-fallback
hk	car	車	900	common-fallback
hk	cars	車	900	common-fallback
jp	car	車	900	common-fallback
jp	cars	車	900	common-fallback
all	hotel	酒店	900	common-fallback
all	hotels	酒店	900	common-fallback
jp	hotel	ホテル	820	common-fallback
jp	hotels	ホテル	820	common-fallback
all	accessory	配件	900	common-fallback
all	accessories	配件	900	common-fallback
jp	accessory	付属品	900	common-fallback
jp	accessories	付属品	900	common-fallback
all	forum	论坛	900	common-fallback
all	forums	论坛	900	common-fallback
hk	forum	論壇	900	common-fallback
hk	forums	論壇	900	common-fallback
jp	forum	掲示板	900	common-fallback
jp	forums	掲示板	900	common-fallback
all	newsletter	通讯	900	common-fallback
hk	newsletter	通訊	900	common-fallback
jp	newsletter	会報	900	common-fallback
all	toy	玩具	900	common-fallback
all	toys	玩具	900	common-fallback
all	golf	高尔夫	900	common-fallback
hk	golf	高爾夫	900	common-fallback
jp	golf	ゴルフ	820	common-fallback
all	wireless	无线	900	common-fallback
hk	wireless	無線	900	common-fallback
jp	wireless	無線	900	common-fallback
all	mailing	邮件	900	common-fallback
hk	mailing	郵件	900	common-fallback
jp	mailing	郵送	900	common-fallback
all	bible	聖書	900	common-fallback
zh	bible	圣经	900	common-fallback
all	dev	开发	850	common-fallback
hk	dev	開發	850	common-fallback
jp	dev	開発	850	common-fallback
all	vol	卷	850	common-fallback
all	dvd	光盘	850	common-fallback
all	dvds	光盘	850	common-fallback
hk	dvd	光碟	850	common-fallback
hk	dvds	光碟	850	common-fallback
jp	dvd	光盤	850	common-fallback
jp	dvds	光盤	850	common-fallback
all	windows	視窗	900	common-fallback
zh	windows	视窗	900	common-fallback
all	linux	Linux系统	850	common-fallback
zh	linux	Linux系统	850	common-fallback
hk	linux	Linux系統	850	common-fallback
jp	linux	Linux系	850	common-fallback
all	microsoft	微软	900	common-fallback
hk	microsoft	微軟	900	common-fallback
jp	microsoft	マイクロソフト	820	common-fallback
all	google	谷歌	900	common-fallback
all	yahoo	雅虎	900	common-fallback
all	sony	索尼	900	common-fallback
all	nokia	诺基亚	900	common-fallback
hk	nokia	諾基亞	900	common-fallback
all	xbox	游戏机	850	common-fallback
hk	xbox	遊戲機	850	common-fallback
jp	xbox	ゲーム機	820	common-fallback
all	ebay	易趣	850	common-fallback
all	paypal	贝宝	850	common-fallback
hk	paypal	貝寶	850	common-fallback
all	cnet	科技网	850	common-fallback
hk	cnet	科技網	850	common-fallback
all	msn	微软网	850	common-fallback
hk	msn	微軟網	850	common-fallback
all	www	万维网	850	common-fallback
hk	www	萬維網	850	common-fallback
all	rss	订阅	850	common-fallback
hk	rss	訂閱	850	common-fallback
all	xml	标记	850	common-fallback
hk	xml	標記	850	common-fallback
all	php	脚本	850	common-fallback
hk	php	腳本	850	common-fallback
all	com	商业	800	common-fallback
hk	com	商業	800	common-fallback
all	llc	公司	850	common-fallback
all	ltd	有限公司	850	common-fallback
all	inc	公司	850	common-fallback
all	jan	一月	900	common-fallback
all	feb	二月	900	common-fallback
all	mar	三月	900	common-fallback
all	apr	四月	900	common-fallback
all	jun	六月	900	common-fallback
all	jul	七月	900	common-fallback
all	aug	八月	900	common-fallback
all	sep	九月	900	common-fallback
all	oct	十月	900	common-fallback
all	nov	十一月	900	common-fallback
all	dec	十二月	900	common-fallback
all	fri	星期五	900	common-fallback
jp	fri	金曜日	900	common-fallback
all	tue	星期二	900	common-fallback
jp	tue	火曜日	900	common-fallback
all	thu	星期四	900	common-fallback
jp	thu	木曜日	900	common-fallback
all	wed	星期三	900	common-fallback
jp	wed	水曜日	900	common-fallback
all	sat	星期六	900	common-fallback
jp	sat	土曜日	900	common-fallback
all	gmt	格林威治	850	common-fallback
all	pst	太平洋时间	850	common-fallback
hk	pst	太平洋時間	850	common-fallback
all	eur	欧元	900	common-fallback
hk	eur	歐元	900	common-fallback
all	int	整数	850	common-fallback
hk	int	整數	850	common-fallback
jp	int	整数	850	common-fallback
all	isbn	书号	850	common-fallback
hk	isbn	書號	850	common-fallback
jp	isbn	書号	850	common-fallback
all	centre	中心	900	common-fallback
all	chicago	芝加哥	900	common-fallback
all	boston	波士顿	900	common-fallback
hk	boston	波士頓	900	common-fallback
all	florida	佛罗里达	900	common-fallback
hk	florida	佛羅里達	900	common-fallback
all	virginia	弗吉尼亚	900	common-fallback
hk	virginia	弗吉尼亞	900	common-fallback
all	los	洛杉矶	900	common-fallback
hk	los	洛杉磯	900	common-fallback
all	santa	圣塔	850	common-fallback
hk	santa	聖塔	850	common-fallback
all	ford	福特	900	common-fallback
all	mary	玛丽	850	common-fallback
hk	mary	瑪麗	850	common-fallback
all	john	约翰	850	common-fallback
hk	john	約翰	850	common-fallback
all	david	大卫	850	common-fallback
hk	david	大衛	850	common-fallback
all	james	詹姆斯	850	common-fallback
all	michael	迈克尔	850	common-fallback
hk	michael	邁克爾	850	common-fallback
all	paul	保罗	850	common-fallback
hk	paul	保羅	850	common-fallback
all	robert	罗伯特	850	common-fallback
hk	robert	羅伯特	850	common-fallback
all	george	乔治	850	common-fallback
hk	george	喬治	850	common-fallback
all	thomas	托马斯	850	common-fallback
hk	thomas	托馬斯	850	common-fallback
all	mike	迈克	850	common-fallback
hk	mike	邁克	850	common-fallback
all	jones	琼斯	850	common-fallback
hk	jones	瓊斯	850	common-fallback
all	lesbian	女同性戀	850	common-fallback
zh	lesbian	女同性恋	850	common-fallback
all	teen	青少年	850	common-fallback
all	non	非	850	common-fallback
all	shall	应	850	common-fallback
hk	shall	應	850	common-fallback
jp	shall	可	800	common-fallback
all	went	去	850	common-fallback
jp	went	行った	850	common-fallback
all	took	取	850	common-fallback
jp	took	取った	850	common-fallback
all	asked	问	850	common-fallback
hk	asked	問	850	common-fallback
jp	asked	聞いた	850	common-fallback
all	offers	优惠	850	common-fallback
hk	offers	優惠	850	common-fallback
all	ships	船	850	common-fallback
all	artists	艺术家	850	common-fallback
hk	artists	藝術家	850	common-fallback
jp	artists	芸術家	850	common-fallback
all	fees	费用	850	common-fallback
hk	fees	費用	850	common-fallback
all	prev	前	850	common-fallback
all	keyword	关键字	850	common-fallback
all	keywords	关键字	850	common-fallback
hk	keyword	關鍵字	850	common-fallback
hk	keywords	關鍵字	850	common-fallback
all	phentermine	芬特明	850	common-fallback
all	username	用户名	900	common-fallback
hk	username	用戶名	900	common-fallback
jp	username	利用者名	900	common-fallback
all	classifieds	分类广告	900	common-fallback
hk	classifieds	分類廣告	900	common-fallback
jp	classifieds	分類広告	900	common-fallback
all	provider	提供者	900	common-fallback
all	providers	提供者	900	common-fallback
all	auction	拍卖	900	common-fallback
all	auctions	拍卖	900	common-fallback
hk	auction	拍賣	900	common-fallback
hk	auctions	拍賣	900	common-fallback
jp	auction	競売	900	common-fallback
jp	auctions	競売	900	common-fallback
all	signed	署名	900	common-fallback
all	began	開始	900	common-fallback
zh	began	开始	900	common-fallback
all	del	删除	850	common-fallback
hk	del	刪除	850	common-fallback
jp	del	削除	850	common-fallback
all	johnson	约翰逊	850	common-fallback
hk	johnson	約翰遜	850	common-fallback
all	kansas	堪萨斯	850	common-fallback
hk	kansas	堪薩斯	850	common-fallback
all	enable	启用	900	common-fallback
hk	enable	啟用	900	common-fallback
jp	enable	有効化	900	common-fallback
all	mid	中	850	common-fallback
all	process	过程	900	common-fallback
all	processes	过程	900	common-fallback
hk	process	過程	900	common-fallback
hk	processes	過程	900	common-fallback
jp	process	過程	900	common-fallback
jp	processes	過程	900	common-fallback
all	arizona	亚利桑那	850	common-fallback
hk	arizona	亞利桑那	850	common-fallback
all	jim	吉姆	850	common-fallback
all	upgrade	升级	900	common-fallback
hk	upgrade	升級	900	common-fallback
jp	upgrade	更新	900	common-fallback
all	entry	条目	900	common-fallback
all	entries	条目	900	common-fallback
hk	entry	條目	900	common-fallback
hk	entries	條目	900	common-fallback
jp	entry	項目	900	common-fallback
jp	entries	項目	900	common-fallback
all	date	日期	900	common-fallback
all	dates	日期	900	common-fallback
all	samsung	三星	900	common-fallback
all	louis	路易斯	850	common-fallback
all	error	错误	900	common-fallback
all	errors	错误	900	common-fallback
hk	error	錯誤	900	common-fallback
hk	errors	錯誤	900	common-fallback
jp	error	誤り	900	common-fallback
jp	errors	誤り	900	common-fallback
all	shop	商店	900	common-fallback
all	shops	商店	900	common-fallback
