11区	(11 qū)
哀告宾服	(āi gào bīn fú)
哀歌	(āi gē)
哀嚎	(āi háo)
哀号	(āi háo)
哀鸿遍野	(āi hóng biàn yě)
哀毁骨立	(āi huǐ gǔ lì)
哀家	(āi jiā)
哀江南赋	(āi jiāng nán fù)
哀矜	(āi jīn)
哀哭	(āi kū)
哀乐	(āi yuè)
哀怜	(āi lián)
哀悯	(āi mǐn)
哀鸣	(āi míng)
哀莫大于心死	(āi mò dà yú xīn sǐ)
哀平	(āi píng)
哀戚	(āi qī)
哀启	(āi qǐ)
哀泣	(āi qì)
哀求	(āi qiú)
哀劝	(āi quàn)
哀荣	(āi róng)
哀伤	(āi shāng)
哀失	(āi shī)
哀思	(āi sī)
哀叹	(āi tàn)
哀恸	(āi tòng)
哀痛	(āi tòng)
哀婉	(āi wǎn)
哀艳	(āi yàn)
哀怨	(āi yuàn)
哀子	(āi zǐ)
埃	(āi)
埃奥罗斯	(āi ào luó sī)
埃博拉	(āi bó lā)
埃博拉病毒	(āi bó lā bìng dú)
埃布罗	(āi bù luó)
埃布罗河	(āi bù luó hé)
埃德加	(āi dé jiā)
埃德加·爱伦·坡	(āi dé jiā · ài lún · pō)
埃德蒙	(āi dé méng)
埃德蒙·伯克	(āi dé méng · bó kè)
埃德蒙顿	(āi dé méng dùn)
埃迪卡拉	(āi dí kǎ lā)
埃迪卡拉纪	(āi dí kǎ lā jì)
埃尔福特	(āi ěr fú tè)
埃尔朗根	(āi ěr lǎng gēn)
埃尔朗根纲领	(āi ěr lǎng gēn gāng lǐng)
埃尔南德斯	(āi ěr nán dé sī)
埃尔帕索	(āi ěr pà suǒ)
埃尔维斯·普雷斯利	(āi ěr wéi sī · pǔ léi sī lì)
埃菲尔铁塔	(āi fēi ěr tiě tǎ)
埃夫伯里	(āi fū bó lǐ)
埃弗顿	(āi fú dùn)
埃格尔松	(āi gé ěr sōng)
埃及	(āi jí)
埃及豆	(āi jí dòu)
埃及古物学	(āi jí gǔ wù xué)
埃及学	(āi jí xué)
埃及夜鹰	(āi jí yè yīng)
埃加迪群岛	(āi jiā dí qún dǎo)
埃克托	(āi kè tuō)
埃克托·柏辽兹	(āi kè tuō · bó liáo zī)
埃拉特	(āi lā tè)
埃拉托斯特尼	(āi lā tuō sī tè ní)
埃蕾	(āi lěi)
埃里温	(āi lǐ wēn)
埃利斯岛	(āi lì sī dǎo)
埃琳娜	(āi lín nà)
埃隆·马斯克	(āi lóng · mǎ sī kè)
埃曼塔	(āi màn tǎ)
埃米	(āi mǐ)
埃米尔	(āi mǐ ěr)
埃涅阿斯	(āi niè ā sī)
埃涅阿斯纪	(āi niè ā sī jì)
埃塞	(āi sài)
埃塞俄比亚	(āi sài é bǐ yà)
埃塞俄比亚界	(āi sài é bǐ yà jiè)
埃森	(āi sēn)
埃森纳赫	(āi sēn nà hè)
埃森哲	(āi sēn zhé)
埃斯库多	(āi sī kù duō)
埃斯库罗斯	(āi sī kù luó sī)
埃斯特哈齐	(āi sī tè hā qí)
埃斯特朗	(āi sī tè lǎng)
埃塔	(āi tǎ)
埃特纳火山	(āi tè nà huǒ shān)
埃文	(āi wén)
埃文河畔斯特拉特福	(āi wén hé pàn sī tè lā tè fú)
埃文斯	(āi wén sī)
埃叙	(āi xù)
埃因霍温	(āi yīn huò wēn)
挨	(ái)
挨板子	(ái bǎn zi)
挨边	(āi biān)
挨边儿	(āi biān r)
挨不上	(āi bù shàng)
挨擦	(āi cā)
挨呲儿	(ái cī r)
挨次	(āi cì)
挨打	(ái dǎ)
挨打受骂	(ái dǎ shòu mà)
挨打受气	(ái dǎ shòu qì)
挨斗	(ái dòu)
挨饿	(ái è)
挨饿受冻	(ái è shòu dòng)
挨罚	(ái fá)
挨个	(āi gè)
挨个儿	(āi gè r)
挨户	(āi hù)
挨饥抵饿	(ái jī dǐ è)
挨挤	(ái jǐ)
挨家	(āi jiā)
挨家挨户	(āi jiā āi hù)
挨肩擦背	(āi jiān cā bèi)
挨肩儿	(āi jiān r)
挨近	(āi jìn)
挨剋	(ái kēi)
挨骂	(ái mà)
挨门	(āi mén)
挨批	(ái pī)
挨时间	(ái shí jiān)
挨说	(ái shuō)
挨踢	(āi tī)
挨头子	(ái tóu zi)
挨延	(ái yán)
挨宰	(ái zǎi)
挨着	(āi zhe)
挨整	(ái zhěng)
挨揍	(ái zòu)
唉	(āi)
唉唉	(āi āi)
唉姐	(āi jiě)
唉声叹气	(āi shēng tàn qì)
欸	(èi)
欸乃	(ǎi nǎi)
捱	(ái)
啀	(ái)
毐	(ǎi)
嗳	(ǎi)
嗳腐	(ǎi fǔ)
嗳腐吞酸	(ǎi fǔ tūn suān)
嗳气	(ǎi qì)
嗳气腐臭	(ǎi qì fǔ chòu)
嗳气呕逆	(ǎi qì ǒu nì)
嗳气酸腐	(ǎi qì suān fǔ)
嗳气吞酸	(ǎi qì tūn suān)
嗳酸	(ǎi suān)
㤅	(ài)
爱	(ài)
爱爱	(ài ai)
爱奥华	(ài ào huá)
爱奥尼亚海	(ài ào ní yà hǎi)
爱彼迎	(ài bǐ yíng)
爱别离苦	(ài bié lí kǔ)
爱不忍释	(ài bù rěn shì)
爱不释手	(ài bù shì shǒu)
爱才	(ài cái)
爱才若渴	(ài cái ruò kě)
爱财	(ài cái)
爱财如命	(ài cái rú mìng)
爱巢	(ài cháo)
爱称	(ài chēng)
爱词霸	(ài cí bà)
爱达荷	(ài dá hé)
爱戴	(ài dài)
爱得死去活来	(ài de sǐ qù huó lái)
爱德	(ài dé)
爱德华	(ài dé huá)
爱德华·达拉第	(ài dé huá · dá lā dì)
爱德华岛	(ài dé huá dǎo)
爱德华王子岛	(ài dé huá wáng zǐ dǎo)
爱德华兹	(ài dé huá zī)
爱德玲	(ài dé líng)
爱德蒙	(ài dé méng)
爱德斯沃尔	(ài dé sī wò ěr)
爱迪生	(ài dí shēng)
爱丁堡	(ài dīng bǎo)
爱豆	(ài dòu)
爱尔兰	(ài ěr lán)
爱尔兰共和国	(ài ěr lán gòng hé guó)
爱尔兰共和军	(ài ěr lán gòng hé jūn)
爱尔兰海	(ài ěr lán hǎi)
爱尔兰人	(ài ěr lán rén)
爱尔兰语	(ài ěr lán yǔ)
爱耳日	(ài ěr rì)
爱疯	(ài fēng)
爱抚	(ài fǔ)
爱岗敬业	(ài gǎng jìng yè)
爱港	(ài gǎng)
爱国	(ài guó)
爱国如家	(ài guó rú jiā)
爱国卫生运动委员会	(ài guó wèi shēng yùn dòng wěi yuán huì)
爱国者	(ài guó zhě)
爱国主义	(ài guó zhǔ yì)
爱好	(ài hào)
爱好者	(ài hào zhě)
爱河	(ài hé)
爱荷华	(ài hé huá)
爱恨交加	(ài hèn jiāo jiā)
爱恨交织	(ài hèn jiāo zhī)
爱护	(ài hù)
爱辉区	(ài huī qū)
爱将	(ài jiàng)
爱经	(ài jīng)
爱克斯光	(ài kè sī guāng)
爱克斯射线	(ài kè sī shè xiàn)
爱哭鬼	(ài kū guǐ)
爱乐	(ài yuè)
爱乐乐团	(ài yuè yuè tuán)
爱理不理	(ài lǐ bù lǐ)
爱立信	(ài lì xìn)
爱丽舍宫	(ài lì shè gōng)
爱丽丝	(ài lì sī)
爱丽丝漫游奇境记	(ài lì sī màn yóu qí jìng jì)
爱丽丝泉	(ài lì sī quán)
爱丽斯泉	(ài lì sī quán)
爱莉丝	(ài lì sī)
爱怜	(ài lián)
爱恋	(ài liàn)
爱留根纳	(ài liú gēn nà)
爱罗先珂	(ài luó xiān kē)
爱侣	(ài lǚ)
爱马仕	(ài mǎ shì)
爱玛	(ài mǎ)
爱玛·沃特森	(ài mǎ · wò tè sēn)
爱美	(ài měi)
爱美之心，人皆有之	(ài měi zhī xīn , rén jiē yǒu zhī)
爱面子	(ài miàn zi)
爱民区	(ài mín qū)
爱民如子	(ài mín rú zǐ)
爱莫利维尔	(ài mò lì wéi ěr)
爱莫能助	(ài mò néng zhù)
爱默生	(ài mò shēng)
爱慕	(ài mù)
爱慕虚荣	(ài mù xū róng)
爱昵	(ài nì)
爱漂亮	(ài piào liang)
爱普生	(ài pǔ shēng)
爱琴海	(ài qín hǎi)
爱情	(ài qíng)
爱情片	(ài qíng piàn)
爱情喜剧	(ài qíng xǐ jù)
爱犬	(ài quǎn)
爱人	(ài ren)
爱人如己	(ài rén rú jǐ)
爱沙尼亚	(ài shā ní yà)
爱上	(ài shàng)
爱谁谁	(ài shéi shéi)
爱神	(ài shén)
爱斯基摩	(ài sī jī mó)
爱死病	(ài sǐ bìng)
爱晚亭	(ài wǎn tíng)
爱维养	(ài wéi yǎng)
爱卫会	(ài wèi huì)
爱问	(ài wèn)
爱窝窝	(ài wō wo)
爱屋及乌	(ài wū jí wū)
爱惜	(ài xī)
爱惜羽毛	(ài xī yǔ máo)
爱现	(ài xiàn)
爱心	(ài xīn)
爱心伞	(ài xīn sǎn)
爱新觉罗	(ài xīn jué luó)
爱意	(ài yì)
爱因斯坦	(ài yīn sī tǎn)
爱优腾	(ài yōu téng)
爱玉冰	(ài yù bīng)
爱玉子	(ài yù zǐ)
爱憎	(ài zēng)
爱憎分明	(ài zēng fēn míng)
爱之如命	(ài zhī rú mìng)
爱知	(ài zhī)
爱滋	(ài zī)
爱滋病	(ài zī bìng)
爱滋病毒	(ài zī bìng dú)
爱子	(ài zǐ)
嗌	(ài)
嫒	(ài)
暧	(ài)
暧昧	(ài mèi)
暧昧关系	(ài mèi guān xì)
僾	(ài)
壒	(ài)
安	(ān)
安安	(ān ān)
安邦	(ān bāng)
安邦定国	(ān bāng dìng guó)
安保	(ān bǎo)
安倍	(ān bèi)
安步当车	(ān bù dàng chē)
安瓿	(ān bù)
安瓿瓶	(ān bù píng)
安插	(ān chā)
安次区	(ān cì qū)
安达曼岛	(ān dá màn dǎo)
安达曼海	(ān dá màn hǎi)
安达曼群岛	(ān dá màn qún dǎo)
安达仕	(ān dá shì)
安达市	(ān dá shì)
安打	(ān dǎ)
安大略湖	(ān dà lüè hú)
安大略省	(ān dà lüè shěng)
安道尔	(ān dào ěr)
安道尔城	(ān dào ěr chéng)
安道尔共和国	(ān dào ěr gòng hé guó)
安得	(ān dé)
安得拉邦	(ān dé lā bāng)
安德肋	(ān dé lèi)
安德烈	(ān dé liè)
安德鲁	(ān dé lǔ)
安地卡及巴布达	(ān dì kǎ jí bā bù dá)
安地斯	(ān dì sī)
安抵	(ān dǐ)
安第斯山脉	(ān dì sī shān mài)
安定	(ān dìng)
安定化	(ān dìng huà)
安定门	(ān dìng mén)
安定器	(ān dìng qì)
安定区	(ān dìng qū)
安定时间	(ān dìng shí jiān)
安东尼	(ān dōng ní)
安顿	(ān dùn)
安多芬	(ān duō fēn)
安多县	(ān duō xiàn)
安放	(ān fàng)
安非他明	(ān fēi tā míng)
安非他命	(ān fēi tā mìng)
安分	(ān fèn)
安分守己	(ān fèn shǒu jǐ)
安福县	(ān fú xiàn)
安抚	(ān fǔ)
安抚奶嘴	(ān fǔ nǎi zuǐ)
安富恤贫	(ān fù xù pín)
安富恤穷	(ān fù xù qióng)
安富尊荣	(ān fù zūn róng)
安哥拉	(ān gē lā)
安格尔	(ān gé ěr)
安格斯	(ān gé sī)
安格斯牛	(ān gé sī niú)
安圭拉	(ān guī lā)
安国市	(ān guó shì)
安好	(ān hǎo)
安好心	(ān hǎo xīn)
安化县	(ān huà xiàn)
安徽大学	(ān huī dà xué)
安徽省	(ān huī shěng)
安魂弥撒	(ān hún mí sa)
安吉尔	(ān jí ěr)
安吉县	(ān jí xiàn)
安吉星	(ān jí xīng)
安家	(ān jiā)
安家立业	(ān jiā lì yè)
安家落户	(ān jiā luò hù)
安检	(ān jiǎn)
安捷伦科技	(ān jié lún kē jì)
安静	(ān jìng)
安居	(ān jū)
安居工程	(ān jū gōng chéng)
安居乐业	(ān jū lè yè)
安居区	(ān jū qū)
安卡拉	(ān kǎ lā)
安康	(ān kāng)
安康市	(ān kāng shì)
安可	(ān kě)
安克拉治	(ān kè lā zhì)
安克雷奇	(ān kè léi qí)
安拉	(ān lā)
安老院	(ān lǎo yuàn)
安乐	(ān lè)
安乐区	(ān lè qū)
安乐死	(ān lè sǐ)
安乐窝	(ān lè wō)
安乐椅	(ān lè yǐ)
安理会	(ān lǐ huì)
安利	(ān lì)
安联	(ān lián)
安龙县	(ān lóng xiàn)
安陆市	(ān lù shì)
安禄山	(ān lù shān)
安曼	(ān màn)
安谧	(ān mì)
安眠	(ān mián)
安眠酮	(ān mián tóng)
安眠药	(ān mián yào)
安民告示	(ān mín gào shì)
安纳波利斯	(ān nà bō lì sī)
安纳托利亚	(ān nà tuō lì yà)
安娜	(ān nà)
安娜·卡列尼娜	(ān nà · kǎ liè ní nà)
安乃近	(ān nǎi jìn)
安南	(ān nán)
安南区	(ān nán qū)
安南山脉	(ān nán shān mài)
安难	(ān nàn)
安妮	(ān nī)
安宁	(ān níng)
安宁病房	(ān níng bìng fáng)
安宁片	(ān níng piàn)
安宁区	(ān níng qū)
安宁市	(ān níng shì)
安排	(ān pái)
安培	(ān péi)
安培表	(ān péi biǎo)
安培计	(ān péi jì)
安培小时	(ān péi xiǎo shí)
安贫乐道	(ān pín lè dào)
安平区	(ān píng qū)
安平县	(ān píng xiàn)
安瓶	(ān píng)
安琪儿	(ān qí ér)
安亲班	(ān qīn bān)
安寝	(ān qǐn)
安庆市	(ān qìng shì)
安丘市	(ān qiū shì)
安全	(ān quán)
安全掣	(ān quán chè)
安全词	(ān quán cí)
安全措施	(ān quán cuò shī)
安全带	(ān quán dài)
安全岛	(ān quán dǎo)
安全灯	(ān quán dēng)
安全阀	(ān quán fá)
安全感	(ān quán gǎn)
安全港	(ān quán gǎng)
安全局	(ān quán jú)
安全考虑	(ān quán kǎo lǜ)
安全壳	(ān quán ké)
安全裤	(ān quán kù)
安全理事会	(ān quán lǐ shì huì)
安全帽	(ān quán mào)
安全期	(ān quán qī)
安全气囊	(ān quán qì náng)
安全套	(ān quán tào)
安全网	(ān quán wǎng)
安全问题	(ān quán wèn tí)
安全无事	(ān quán wú shì)
安全无虞	(ān quán wú yú)
安全性	(ān quán xìng)
安全眼罩	(ān quán yǎn zhào)
安然	(ān rán)
安然无恙	(ān rán wú yàng)
安人	(ān rén)
安仁县	(ān rén xiàn)
安如磐石	(ān rú pán shí)
安如泰山	(ān rú tài shān)
安塞区	(ān sài qū)
安赛蜜	(ān sài mì)
安山岩	(ān shān yán)
安设	(ān shè)
安身	(ān shēn)
安身立命	(ān shēn lì mìng)
安神	(ān shén)
安生	(ān shēng)
安石榴	(ān shí liú)
安时	(ān shí)
安史之乱	(ān shǐ zhī luàn)
安士	(ān shì)
安适	(ān shì)
安舒	(ān shū)
安顺市	(ān shùn shì)
安塔那那利佛	(ān tǎ nà nà lì fó)
安太岁	(ān tài suì)
安泰	(ān tài)
安特卫普	(ān tè wèi pǔ)
安提法	(ān tí fǎ)
安提瓜岛	(ān tí guā dǎo)
安提瓜和巴布达	(ān tí guā hé bā bù dá)
安替比林	(ān tì bǐ lín)
安图县	(ān tú xiàn)
安徒生	(ān tú shēng)
安土重迁	(ān tǔ zhòng qiān)
安瓦尔	(ān wǎ ěr)
安危	(ān wēi)
安慰	(ān wèi)
安慰剂	(ān wèi jì)
安慰奖	(ān wèi jiǎng)
安稳	(ān wěn)
安息	(ān xī)
安息国	(ān xī guó)
安息茴香	(ān xī huí xiāng)
安息日	(ān xī rì)
安息香	(ān xī xiāng)
安息香科	(ān xī xiāng kē)
安息香属	(ān xī xiāng shǔ)
安息香脂	(ān xī xiāng zhī)
安溪县	(ān xī xiàn)
安闲	(ān xián)
安闲舒适	(ān xián shū shì)
安闲随意	(ān xián suí yì)
安闲自得	(ān xián zì dé)
安闲自在	(ān xián zì zai)
安乡县	(ān xiāng xiàn)
安详	(ān xiáng)
安祥	(ān xiáng)
安歇	(ān xiē)
安心	(ān xīn)
安新县	(ān xīn xiàn)
安阳市	(ān yáng shì)
安阳县	(ān yáng xiàn)
安养	(ān yǎng)
安养院	(ān yǎng yuàn)
安义县	(ān yì xiàn)
安逸	(ān yì)
安营	(ān yíng)
安营扎寨	(ān yíng zhā zhài)
安于	(ān yú)
安于现状	(ān yú xiàn zhuàng)
安源区	(ān yuán qū)
安远县	(ān yuǎn xiàn)
安岳县	(ān yuè xiàn)
安匝	(ān zā)
安葬	(ān zàng)
安泽县	(ān zé xiàn)
安贞	(ān zhēn)
安枕	(ān zhěn)
安之若素	(ān zhī ruò sù)
安置	(ān zhì)
安州区	(ān zhōu qū)
安装	(ān zhuāng)
安装包	(ān zhuāng bāo)
安卓	(ān zhuó)
安祖花	(ān zǔ huā)
桉	(ān)
桉树	(ān shù)
桉叶油	(ān yè yóu)
庵	(ān)
庵堂	(ān táng)
啽	(án)
媕	(ān)
媕婀	(ān ē)
垵	(ǎn)
埯	(ǎn)
唵	(ǎn)
唵嘛呢叭咪吽	(ǎn má ní bā mī hōng)
揞	(ǎn)
岸	(àn)
岸边	(àn biān)
岸标	(àn biāo)
岸然	(àn rán)
岸上	(àn shàng)
按	(àn)
按兵不动	(àn bīng bù dòng)
按步就班	(àn bù jiù bān)
按部就班	(àn bù jiù bān)
按察	(àn chá)
按季	(àn jì)
按键	(àn jiàn)
按键音	(àn jiàn yīn)
按揭	(àn jiē)
按扣	(àn kòu)
按劳分配	(àn láo fēn pèi)
按理	(àn lǐ)
按理说	(àn lǐ shuō)
按立	(àn lì)
按脉	(àn mài)
按摩	(àn mó)
按摩棒	(àn mó bàng)
按摩师	(àn mó shī)
按摩浴缸	(àn mó yù gāng)
按纳	(àn nà)
按捺	(àn nà)
按捺不住	(àn nà bu zhù)
按钮	(àn niǔ)
按期	(àn qī)
按跷	(àn qiāo)
按日	(àn rì)
按时	(àn shí)
按时间先后	(àn shí jiān xiān hòu)
按手礼	(àn shǒu lǐ)
按说	(àn shuō)
按天	(àn tiān)
按图索骥	(àn tú suǒ jì)
按蚊	(àn wén)
按下	(àn xià)
按下葫芦浮起瓢	(àn xià hú lú fú qǐ piáo)
按需	(àn xū)
按需出版	(àn xū chū bǎn)
按需分配	(àn xū fēn pèi)
按压	(àn yā)
按语	(àn yǔ)
按月	(àn yuè)
按赞	(àn zàn)
按照	(àn zhào)
按诊	(àn zhěn)
案	(àn)
案板	(àn bǎn)
案兵束甲	(àn bīng shù jiǎ)
案称	(àn chèng)
案秤	(àn chèng)
案底	(àn dǐ)
案牍	(àn dú)
案发	(àn fā)
案发现场	(àn fā xiàn chǎng)
案甲休兵	(àn jiǎ xiū bīng)
案件	(àn jiàn)
案卷	(àn juàn)
案例	(àn lì)
案例法	(àn lì fǎ)
案情	(àn qíng)
案头	(àn tóu)
案文	(àn wén)
案验	(àn yàn)
案由	(àn yóu)
案语	(àn yǔ)
案子	(àn zi)
暗	(àn)
暗暗	(àn àn)
暗堡	(àn bǎo)
暗背雨燕	(àn bèi yǔ yàn)
暗藏	(àn cáng)
暗娼	(àn chāng)
暗潮	(àn cháo)
暗处	(àn chù)
暗疮	(àn chuāng)
暗袋	(àn dài)
暗淡	(àn dàn)
暗道	(àn dào)
暗地	(àn dì)
暗地里	(àn dì li)
暗疔	(àn dīng)
暗渡陈仓	(àn dù chén cāng)
暗煅	(àn duàn)
暗房	(àn fáng)
暗访	(àn fǎng)
暗腹雪鸡	(àn fù xuě jī)
暗公鸟	(àn gōng niǎo)
暗沟	(àn gōu)
暗光鸟	(àn guāng niǎo)
暗害	(àn hài)
暗含	(àn hán)
暗号	(àn hào)
暗合	(àn hé)
暗河	(àn hé)
暗盒	(àn hé)
暗黑	(àn hēi)
暗黑破坏神	(àn hēi pò huài shén)
暗花儿	(àn huā r)
暗灰鹃鵙	(àn huī juān jú)
暗疾	(àn jí)
暗记	(àn jì)
暗记儿	(àn jì r)
暗间儿	(àn jiān r)
暗箭	(àn jiàn)
暗礁	(àn jiāo)
暗经	(àn jīng)
暗井	(àn jǐng)
暗扣	(àn kòu)
暗亏	(àn kuī)
暗里	(àn li)
暗恋	(àn liàn)
暗流	(àn liú)
暗鹭	(àn lù)
暗绿背鸬鹚	(àn lǜ bèi lú cí)
暗绿柳莺	(àn lǜ liǔ yīng)
暗绿绣眼鸟	(àn lǜ xiù yǎn niǎo)
暗骂	(àn mà)
暗昧	(àn mèi)
暗冕鹪莺	(àn miǎn jiāo yīng)
暗能量	(àn néng liàng)
暗器	(àn qì)
暗渠	(àn qú)
暗色鸦雀	(àn sè yā què)
暗杀	(àn shā)
暗沙	(àn shā)
暗伤	(àn shāng)
暗哨	(àn shào)
暗哨儿	(àn shào r)
暗示	(àn shì)
暗适应	(àn shì yìng)
暗室	(àn shì)
暗爽	(àn shuǎng)
暗送秋波	(àn sòng qiū bō)
暗算	(àn suàn)
暗锁	(àn suǒ)
暗滩	(àn tān)
暗探	(àn tàn)
暗网	(àn wǎng)
暗无天日	(àn wú tiān rì)
暗物质	(àn wù zhì)
暗喜	(àn xǐ)
暗线光谱	(àn xiàn guāng pǔ)
暗香	(àn xiāng)
暗箱	(àn xiāng)
暗箱操作	(àn xiāng cāo zuò)
暗想	(àn xiǎng)
暗笑	(àn xiào)
暗星云	(àn xīng yún)
暗胸朱雀	(àn xiōng zhū què)
暗影	(àn yǐng)
暗语	(àn yǔ)
暗喻	(àn yù)
暗指	(àn zhǐ)
暗滞	(àn zhì)
暗中	(àn zhōng)
暗中监视	(àn zhōng jiān shì)
暗转	(àn zhuǎn)
暗桩	(àn zhuāng)
暗自	(àn zì)
卬	(áng)
枊	(àng)
昂	(áng)
昂昂	(áng áng)
昂昂溪区	(áng áng xī qū)
昂藏	(áng cáng)
昂船洲	(áng chuán zhōu)
昂奋	(áng fèn)
昂贵	(áng guì)
昂利	(áng lì)
昂纳克	(áng nà kè)
昂然	(áng rán)
昂仁县	(áng rén xiàn)
昂撒	(áng sā)
昂山	(áng shān)
昂山素季	(áng shān sù jì)
昂首	(áng shǒu)
昂首阔步	(áng shǒu kuò bù)
昂首天外	(áng shǒu tiān wài)
昂首挺胸	(áng shǒu tǐng xiōng)
昂扬	(áng yáng)
昻	(áng)
凹	(āo)
凹岸	(āo àn)
凹板	(āo bǎn)
凹版	(āo bǎn)
凹槽	(āo cáo)
凹雕	(āo diāo)
凹洞	(āo dòng)
凹度	(āo dù)
凹痕	(āo hén)
凹进	(āo jìn)
凹镜	(āo jìng)
凹坑	(āo kēng)
凹面镜	(āo miàn jìng)
凹朴皮	(āo pò pí)
凹入	(āo rù)
凹透镜	(āo tòu jìng)
凹凸	(āo tū)
凹凸不平	(āo tū bù píng)
凹凸形	(āo tū xíng)
凹凸性	(āo tū xìng)
凹凸轧花	(āo tū yà huā)
凹凸印刷	(āo tū yìn shuā)
凹凸有致	(āo tū yǒu zhì)
凹纹	(āo wén)
凹线	(āo xiàn)
凹陷	(āo xiàn)
凹造型	(āo zào xíng)
敖	(áo)
敖包	(áo bāo)
敖贝得	(áo bèi dé)
敖德萨	(áo dé sà)
敖广	(áo guǎng)
敖汉	(áo hàn)
敖汉旗	(áo hàn qí)
敖闰	(áo rùn)
敖顺	(áo shùn)
嶅	(áo)
嗷	(áo)
嗷嗷待哺	(áo áo dài bǔ)
廒	(áo)
摮	(áo)
媪	(ǎo)
媪神	(ǎo shén)
岙	(ào)
垇	(ào)
坳	(ào)
坳陷	(ào xiàn)
拗	(ǎo)
拗不过	(niù bu guò)
拗断	(ǎo duàn)
拗口	(ào kǒu)
拗口令	(ào kǒu lìng)
奡	(ào)
傲	(ào)
傲岸	(ào àn)
傲骨	(ào gǔ)
傲娇	(ào jiāo)
傲立	(ào lì)
傲慢	(ào màn)
傲慢无礼	(ào màn wú lǐ)
傲慢与偏见	(ào màn yǔ piān jiàn)
傲睨	(ào nì)
傲气	(ào qì)
傲然	(ào rán)
傲人	(ào rén)
傲视	(ào shì)
傲视群伦	(ào shì qún lún)
奥	(ào)
奥波莱	(ào bō lái)
奥布里	(ào bù lǐ)
奥黛	(ào dài)
奥黛丽	(ào dài lì)
奥黛莉	(ào dài lì)
奥德赛	(ào dé sài)
奥德修斯	(ào dé xiū sī)
奥地利	(ào dì lì)
奥迪	(ào dí)
奥迪修斯	(ào dí xiū sī)
奥丁	(ào dīng)
奥丁谐振器	(ào dīng xié zhèn qì)
奥尔巴尼	(ào ěr bā ní)
奥尔德尼岛	(ào ěr dé ní dǎo)
奥尔德斯·赫胥黎	(ào ěr dé sī hè xū lí)
奥尔良	(ào ěr liáng)
奥古斯都	(ào gǔ sī dū)
奥古斯塔	(ào gǔ sī tǎ)
奥国	(ào guó)
奥胡斯	(ào hú sī)
奥会	(ào huì)
奥迹	(ào jì)
奥卡姆剃刀	(ào kǎ mǔ tì dāo)
奥康纳	(ào kāng nà)
奥康内尔	(ào kāng nèi ěr)
奥克拉荷马	(ào kè lā hé mǎ)
奥克兰	(ào kè lán)
奥克苏斯河	(ào kè sū sī hé)
奥客	(ào kè)
奥腊涅斯塔德	(ào là niè sī tǎ dé)
奥赖恩	(ào lài ēn)
奥兰多	(ào lán duō)
奥兰群岛	(ào lán qún dǎo)
奥里里亚	(ào lǐ lǐ yà)
奥里萨邦	(ào lǐ sà bāng)
奥利安	(ào lì ān)
奥利奥	(ào lì ào)
奥利给	(ào lì gěi)
奥利维亚	(ào lì wéi yà)
奥林巴斯	(ào lín bā sī)
奥林匹克	(ào lín pǐ kè)
