11區	(11 qū)
愛河	(ài hé)
愛荷華	(ài hé huá)
愛恨交加	(ài hèn jiāo jiā)
愛恨交織	(ài hèn jiāo zhī)
愛護	(ài hù)
愛輝區	(ài huī qū)
愛將	(ài jiàng)
愛經	(ài jīng)
愛克斯光	(ài kè sī guāng)
愛克斯射線	(ài kè sī shè xiàn)
愛哭鬼	(ài kū guǐ)
愛理不理	(ài lǐ bù lǐ)
愛立信	(ài lì xìn)
愛莉絲	(ài lì sī)
愛麗舍宮	(ài lì shè gōng)
愛麗斯泉	(ài lì sī quán)
愛麗絲	(ài lì sī)
愛麗絲漫遊奇境記	(ài lì sī màn yóu qí jìng jì)
愛麗絲泉	(ài lì sī quán)
愛憐	(ài lián)
愛戀	(ài liàn)
愛留根納	(ài liú gēn nà)
愛羅先珂	(ài luó xiān kē)
愛侶	(ài lǚ)
愛馬仕	(ài mǎ shì)
愛瑪	(ài mǎ)
愛瑪·沃特森	(ài mǎ · wò tè sēn)
愛美	(ài měi)
愛美之心，人皆有之	(ài měi zhī xīn , rén jiē yǒu zhī)
愛面子	(ài miàn zi)
愛民區	(ài mín qū)
愛民如子	(ài mín rú zǐ)
愛莫利維爾	(ài mò lì wéi ěr)
愛莫能助	(ài mò néng zhù)
愛默生	(ài mò shēng)
愛慕	(ài mù)
愛慕虛榮	(ài mù xū róng)
愛昵	(ài nì)
愛漂亮	(ài piào liang)
愛普生	(ài pǔ shēng)
愛琴海	(ài qín hǎi)
愛情	(ài qíng)
愛情片	(ài qíng piàn)
愛情喜劇	(ài qíng xǐ jù)
愛犬	(ài quǎn)
愛人	(ài ren)
愛人如己	(ài rén rú jǐ)
愛沙尼亞	(ài shā ní yà)
愛上	(ài shàng)
愛神	(ài shén)
愛誰誰	(ài shéi shéi)
愛斯基摩	(ài sī jī mó)
愛死病	(ài sǐ bìng)
愛晚亭	(ài wǎn tíng)
愛維養	(ài wéi yǎng)
愛衛會	(ài wèi huì)
愛問	(ài wèn)
愛窩窩	(ài wō wo)
愛屋及烏	(ài wū jí wū)
愛惜	(ài xī)
愛惜羽毛	(ài xī yǔ máo)
愛現	(ài xiàn)
愛心	(ài xīn)
愛心傘	(ài xīn sǎn)
愛新覺羅	(ài xīn jué luó)
愛意	(ài yì)
愛因斯坦	(ài yīn sī tǎn)
愛優騰	(ài yōu téng)
愛玉冰	(ài yù bīng)
愛玉子	(ài yù zǐ)
愛樂	(ài yuè)
愛樂樂團	(ài yuè yuè tuán)
愛憎	(ài zēng)
愛憎分明	(ài zēng fēn míng)
愛之如命	(ài zhī rú mìng)
愛知	(ài zhī)
愛滋	(ài zī)
愛滋病	(ài zī bìng)
愛滋病毒	(ài zī bìng dú)
愛子	(ài zǐ)
僾	(ài)
壒	(ài)
噯	(ǎi)
噯腐	(ǎi fǔ)
噯腐吞酸	(ǎi fǔ tūn suān)
噯氣	(ǎi qì)
噯氣腐臭	(ǎi qì fǔ chòu)
噯氣嘔逆	(ǎi qì ǒu nì)
噯氣酸腐	(ǎi qì suān fǔ)
噯氣吞酸	(ǎi qì tūn suān)
噯酸	(ǎi suān)
嬡	(ài)
曖	(ài)
曖昧	(ài mèi)
曖昧關係	(ài mèi guān xì)
安	(ān)
安安	(ān ān)
安邦	(ān bāng)
安邦定國	(ān bāng dìng guó)
安保	(ān bǎo)
安倍	(ān bèi)
安步當車	(ān bù dàng chē)
安瓿	(ān bù)
安瓿瓶	(ān bù píng)
安插	(ān chā)
安次區	(ān cì qū)
安達曼島	(ān dá màn dǎo)
安達曼海	(ān dá màn hǎi)
安達曼群島	(ān dá màn qún dǎo)
安達仕	(ān dá shì)
安達市	(ān dá shì)
安打	(ān dǎ)
安大略湖	(ān dà lüè hú)
安大略省	(ān dà lüè shěng)
安道爾	(ān dào ěr)
安道爾城	(ān dào ěr chéng)
安道爾共和國	(ān dào ěr gòng hé guó)
安得	(ān dé)
安得拉邦	(ān dé lā bāng)
安德肋	(ān dé lèi)
安德烈	(ān dé liè)
安德魯	(ān dé lǔ)
安地卡及巴布達	(ān dì kǎ jí bā bù dá)
安地斯	(ān dì sī)
安抵	(ān dǐ)
安第斯山脈	(ān dì sī shān mài)
安定	(ān dìng)
安定化	(ān dìng huà)
安定門	(ān dìng mén)
安定器	(ān dìng qì)
安定區	(ān dìng qū)
安定時間	(ān dìng shí jiān)
安東尼	(ān dōng ní)
安頓	(ān dùn)
安多芬	(ān duō fēn)
安多縣	(ān duō xiàn)
安放	(ān fàng)
安非他明	(ān fēi tā míng)
安非他命	(ān fēi tā mìng)
安分	(ān fèn)
安分守己	(ān fèn shǒu jǐ)
安福縣	(ān fú xiàn)
安撫	(ān fǔ)
安撫奶嘴	(ān fǔ nǎi zuǐ)
安富恤貧	(ān fù xù pín)
安富恤窮	(ān fù xù qióng)
安富尊榮	(ān fù zūn róng)
安哥拉	(ān gē lā)
安格爾	(ān gé ěr)
安格斯	(ān gé sī)
安格斯牛	(ān gé sī niú)
安圭拉	(ān guī lā)
安國市	(ān guó shì)
安好	(ān hǎo)
安好心	(ān hǎo xīn)
安化縣	(ān huà xiàn)
安徽大學	(ān huī dà xué)
安徽省	(ān huī shěng)
安魂彌撒	(ān hún mí sa)
安吉爾	(ān jí ěr)
安吉縣	(ān jí xiàn)
安吉星	(ān jí xīng)
安家	(ān jiā)
安家立業	(ān jiā lì yè)
安家落戶	(ān jiā luò hù)
安檢	(ān jiǎn)
安捷倫科技	(ān jié lún kē jì)
安靜	(ān jìng)
安居	(ān jū)
安居工程	(ān jū gōng chéng)
安居區	(ān jū qū)
安居樂業	(ān jū lè yè)
安卡拉	(ān kǎ lā)
安康	(ān kāng)
安康市	(ān kāng shì)
安可	(ān kě)
安克拉治	(ān kè lā zhì)
安克雷奇	(ān kè léi qí)
安拉	(ān lā)
安老院	(ān lǎo yuàn)
安理會	(ān lǐ huì)
安利	(ān lì)
安聯	(ān lián)
安龍縣	(ān lóng xiàn)
安陸市	(ān lù shì)
安祿山	(ān lù shān)
安曼	(ān màn)
安謐	(ān mì)
安眠	(ān mián)
安眠酮	(ān mián tóng)
安眠藥	(ān mián yào)
安民告示	(ān mín gào shì)
安娜	(ān nà)
安娜·卡列尼娜	(ān nà · kǎ liè ní nà)
安納波利斯	(ān nà bō lì sī)
安納托利亞	(ān nà tuō lì yà)
安乃近	(ān nǎi jìn)
安南	(ān nán)
安南區	(ān nán qū)
安南山脈	(ān nán shān mài)
安難	(ān nàn)
安妮	(ān nī)
安寧	(ān níng)
安寧病房	(ān níng bìng fáng)
安寧片	(ān níng piàn)
安寧區	(ān níng qū)
安寧市	(ān níng shì)
安排	(ān pái)
安培	(ān péi)
安培表	(ān péi biǎo)
安培計	(ān péi jì)
安培小時	(ān péi xiǎo shí)
安貧樂道	(ān pín lè dào)
安平區	(ān píng qū)
安平縣	(ān píng xiàn)
安瓶	(ān píng)
安琪兒	(ān qí ér)
安寢	(ān qǐn)
安慶市	(ān qìng shì)
安親班	(ān qīn bān)
安丘市	(ān qiū shì)
安全	(ān quán)
安全掣	(ān quán chè)
安全詞	(ān quán cí)
安全措施	(ān quán cuò shī)
安全帶	(ān quán dài)
安全島	(ān quán dǎo)
安全燈	(ān quán dēng)
安全閥	(ān quán fá)
安全感	(ān quán gǎn)
安全港	(ān quán gǎng)
安全局	(ān quán jú)
安全考慮	(ān quán kǎo lǜ)
安全褲	(ān quán kù)
安全理事會	(ān quán lǐ shì huì)
安全帽	(ān quán mào)
安全期	(ān quán qī)
安全氣囊	(ān quán qì náng)
安全殼	(ān quán ké)
安全套	(ān quán tào)
安全網	(ān quán wǎng)
安全問題	(ān quán wèn tí)
安全無事	(ān quán wú shì)
安全無虞	(ān quán wú yú)
安全性	(ān quán xìng)
安全眼罩	(ān quán yǎn zhào)
安然	(ān rán)
安然無恙	(ān rán wú yàng)
安人	(ān rén)
安仁縣	(ān rén xiàn)
安如磐石	(ān rú pán shí)
安如泰山	(ān rú tài shān)
安塞區	(ān sài qū)
安賽蜜	(ān sài mì)
安山岩	(ān shān yán)
安設	(ān shè)
安身	(ān shēn)
安身立命	(ān shēn lì mìng)
安神	(ān shén)
安生	(ān shēng)
安石榴	(ān shí liú)
安時	(ān shí)
安史之亂	(ān shǐ zhī luàn)
安士	(ān shì)
安適	(ān shì)
安舒	(ān shū)
安順市	(ān shùn shì)
安塔那那利佛	(ān tǎ nà nà lì fó)
安太歲	(ān tài suì)
安泰	(ān tài)
安特衛普	(ān tè wèi pǔ)
安提法	(ān tí fǎ)
安提瓜島	(ān tí guā dǎo)
安提瓜和巴布達	(ān tí guā hé bā bù dá)
安替比林	(ān tì bǐ lín)
安徒生	(ān tú shēng)
安圖縣	(ān tú xiàn)
安土重遷	(ān tǔ zhòng qiān)
安瓦爾	(ān wǎ ěr)
安危	(ān wēi)
安慰	(ān wèi)
安慰劑	(ān wèi jì)
安慰獎	(ān wèi jiǎng)
安穩	(ān wěn)
安息	(ān xī)
安息國	(ān xī guó)
安息茴香	(ān xī huí xiāng)
安息日	(ān xī rì)
安息香	(ān xī xiāng)
安息香科	(ān xī xiāng kē)
安息香屬	(ān xī xiāng shǔ)
安息香脂	(ān xī xiāng zhī)
安溪縣	(ān xī xiàn)
安閑	(ān xián)
安閑隨意	(ān xián suí yì)
安閑自得	(ān xián zì dé)
安閑自在	(ān xián zì zai)
安閒	(ān xián)
安閒舒適	(ān xián shū shì)
安鄉縣	(ān xiāng xiàn)
安祥	(ān xiáng)
安詳	(ān xiáng)
安歇	(ān xiē)
安心	(ān xīn)
安新縣	(ān xīn xiàn)
安陽市	(ān yáng shì)
安陽縣	(ān yáng xiàn)
安養	(ān yǎng)
安養院	(ān yǎng yuàn)
安逸	(ān yì)
安義縣	(ān yì xiàn)
安營	(ān yíng)
安營紮寨	(ān yíng zhā zhài)
安於	(ān yú)
安於現狀	(ān yú xiàn zhuàng)
安源區	(ān yuán qū)
安遠縣	(ān yuǎn xiàn)
安岳縣	(ān yuè xiàn)
安樂	(ān lè)
安樂區	(ān lè qū)
安樂死	(ān lè sǐ)
安樂窩	(ān lè wō)
安樂椅	(ān lè yǐ)
安匝	(ān zā)
安葬	(ān zàng)
安澤縣	(ān zé xiàn)
安貞	(ān zhēn)
安枕	(ān zhěn)
安之若素	(ān zhī ruò sù)
安置	(ān zhì)
安州區	(ān zhōu qū)
安裝	(ān zhuāng)
安裝包	(ān zhuāng bāo)
安卓	(ān zhuó)
安祖花	(ān zǔ huā)
桉	(ān)
桉樹	(ān shù)
桉葉油	(ān yè yóu)
庵	(ān)
庵堂	(ān táng)
啽	(án)
媕	(ān)
媕婀	(ān ē)
垵	(ǎn)
埯	(ǎn)
唵	(ǎn)
唵嘛呢叭咪吽	(ǎn má ní bā mī hōng)
揞	(ǎn)
晻	(àn)
㟁	(àn)
岸	(àn)
岸邊	(àn biān)
岸標	(àn biāo)
岸然	(àn rán)
岸上	(àn shàng)
按	(àn)
按兵不動	(àn bīng bù dòng)
按步就班	(àn bù jiù bān)
按部就班	(àn bù jiù bān)
按察	(àn chá)
按季	(àn jì)
按鍵	(àn jiàn)
按鍵音	(àn jiàn yīn)
按揭	(àn jiē)
按扣	(àn kòu)
按勞分配	(àn láo fēn pèi)
按理	(àn lǐ)
按理說	(àn lǐ shuō)
按立	(àn lì)
按脈	(àn mài)
按摩	(àn mó)
按摩棒	(àn mó bàng)
按摩師	(àn mó shī)
按摩浴缸	(àn mó yù gāng)
按納	(àn nà)
按捺	(àn nà)
按捺不住	(àn nà bu zhù)
按鈕	(àn niǔ)
按期	(àn qī)
按蹻	(àn qiāo)
按日	(àn rì)
按時	(àn shí)
按時間先後	(àn shí jiān xiān hòu)
按手禮	(àn shǒu lǐ)
按說	(àn shuō)
按天	(àn tiān)
按圖索驥	(àn tú suǒ jì)
按蚊	(àn wén)
按下	(àn xià)
按下葫蘆浮起瓢	(àn xià hú lú fú qǐ piáo)
按需	(àn xū)
按需出版	(àn xū chū bǎn)
按需分配	(àn xū fēn pèi)
按壓	(àn yā)
按語	(àn yǔ)
按月	(àn yuè)
按讚	(àn zàn)
按照	(àn zhào)
按診	(àn zhěn)
案	(àn)
案板	(àn bǎn)
案兵束甲	(àn bīng shù jiǎ)
案稱	(àn chèng)
案秤	(àn chèng)
案底	(àn dǐ)
案牘	(àn dú)
案發	(àn fā)
案發現場	(àn fā xiàn chǎng)
案甲休兵	(àn jiǎ xiū bīng)
案件	(àn jiàn)
案卷	(àn juàn)
案例	(àn lì)
案例法	(àn lì fǎ)
案情	(àn qíng)
案頭	(àn tóu)
案文	(àn wén)
案驗	(àn yàn)
案由	(àn yóu)
案語	(àn yǔ)
案子	(àn zi)
暗	(àn)
暗暗	(àn àn)
暗堡	(àn bǎo)
暗背雨燕	(àn bèi yǔ yàn)
暗藏	(àn cáng)
暗娼	(àn chāng)
暗潮	(àn cháo)
暗處	(àn chù)
暗瘡	(àn chuāng)
暗袋	(àn dài)
暗淡	(àn dàn)
暗道	(àn dào)
暗地	(àn dì)
暗地裡	(àn dì li)
暗疔	(àn dīng)
暗渡陳倉	(àn dù chén cāng)
暗煅	(àn duàn)
暗房	(àn fáng)
暗訪	(àn fǎng)
暗腹雪雞	(àn fù xuě jī)
暗公鳥	(àn gōng niǎo)
暗溝	(àn gōu)
暗光鳥	(àn guāng niǎo)
暗害	(àn hài)
暗含	(àn hán)
暗號	(àn hào)
暗合	(àn hé)
暗河	(àn hé)
暗盒	(àn hé)
暗黑	(àn hēi)
暗黑破壞神	(àn hēi pò huài shén)
暗花兒	(àn huā r)
暗灰鵑鵙	(àn huī juān jú)
暗疾	(àn jí)
暗記	(àn jì)
暗記兒	(àn jì r)
暗間兒	(àn jiān r)
暗箭	(àn jiàn)
暗礁	(àn jiāo)
暗經	(àn jīng)
暗井	(àn jǐng)
暗扣	(àn kòu)
暗虧	(àn kuī)
暗裡	(àn li)
暗戀	(àn liàn)
暗流	(àn liú)
暗鷺	(àn lù)
暗綠背鸕鶿	(àn lǜ bèi lú cí)
暗綠柳鶯	(àn lǜ liǔ yīng)
暗綠繡眼鳥	(àn lǜ xiù yǎn niǎo)
暗罵	(àn mà)
暗昧	(àn mèi)
暗冕鷦鶯	(àn miǎn jiāo yīng)
暗能量	(àn néng liàng)
暗器	(àn qì)
暗渠	(àn qú)
暗色鴉雀	(àn sè yā què)
暗沙	(àn shā)
暗殺	(àn shā)
暗傷	(àn shāng)
暗哨	(àn shào)
暗哨兒	(àn shào r)
暗示	(àn shì)
暗室	(àn shì)
暗適應	(àn shì yìng)
暗爽	(àn shuǎng)
暗送秋波	(àn sòng qiū bō)
暗算	(àn suàn)
暗鎖	(àn suǒ)
暗灘	(àn tān)
暗探	(àn tàn)
暗網	(àn wǎng)
暗無天日	(àn wú tiān rì)
暗物質	(àn wù zhì)
暗喜	(àn xǐ)
暗線光譜	(àn xiàn guāng pǔ)
暗香	(àn xiāng)
暗箱	(àn xiāng)
暗箱操作	(àn xiāng cāo zuò)
暗想	(àn xiǎng)
暗笑	(àn xiào)
暗星雲	(àn xīng yún)
暗胸朱雀	(àn xiōng zhū què)
暗影	(àn yǐng)
暗語	(àn yǔ)
暗喻	(àn yù)
暗指	(àn zhǐ)
暗滯	(àn zhì)
暗中	(àn zhōng)
暗中監視	(àn zhōng jiān shì)
暗轉	(àn zhuǎn)
暗樁	(àn zhuāng)
暗自	(àn zì)
卬	(áng)
枊	(àng)
昂	(áng)
昂昂	(áng áng)
昂昂溪區	(áng áng xī qū)
昂藏	(áng cáng)
昂船洲	(áng chuán zhōu)
昂奮	(áng fèn)
昂貴	(áng guì)
昂利	(áng lì)
昂納克	(áng nà kè)
昂然	(áng rán)
昂仁縣	(áng rén xiàn)
昂撒	(áng sā)
昂山	(áng shān)
昂山素季	(áng shān sù jì)
昂首	(áng shǒu)
昂首闊步	(áng shǒu kuò bù)
昂首天外	(áng shǒu tiān wài)
昂首挺胸	(áng shǒu tǐng xiōng)
昂揚	(áng yáng)
昻	(áng)
凹	(āo)
凹岸	(āo àn)
凹板	(āo bǎn)
凹版	(āo bǎn)
凹槽	(āo cáo)
凹雕	(āo diāo)
凹洞	(āo dòng)
凹度	(āo dù)
凹痕	(āo hén)
凹進	(āo jìn)
凹鏡	(āo jìng)
凹坑	(āo kēng)
凹面鏡	(āo miàn jìng)
凹朴皮	(āo pò pí)
凹入	(āo rù)
凹透鏡	(āo tòu jìng)
凹凸	(āo tū)
凹凸不平	(āo tū bù píng)
凹凸形	(āo tū xíng)
凹凸性	(āo tū xìng)
凹凸軋花	(āo tū yà huā)
凹凸印刷	(āo tū yìn shuā)
凹凸有致	(āo tū yǒu zhì)
凹紋	(āo wén)
凹陷	(āo xiàn)
凹線	(āo xiàn)
凹造型	(āo zào xíng)
㘭	(ào)
敖	(áo)
敖包	(áo bāo)
敖貝得	(áo bèi dé)
敖德薩	(áo dé sà)
敖廣	(áo guǎng)
敖漢	(áo hàn)
敖漢旗	(áo hàn qí)
敖閏	(áo rùn)
敖順	(áo shùn)
嶅	(áo)
嗷	(áo)
嗷嗷待哺	(áo áo dài bǔ)
廒	(áo)
摮	(áo)
媼	(ǎo)
媼神	(ǎo shén)
䴈	(ǎo)
抝	(ào)
垇	(ào)
坳	(ào)
坳陷	(ào xiàn)
拗	(ǎo)
拗不過	(niù bu guò)
拗斷	(ǎo duàn)
拗口	(ào kǒu)
拗口令	(ào kǒu lìng)
奡	(ào)
傲	(ào)
傲岸	(ào àn)
傲骨	(ào gǔ)
傲嬌	(ào jiāo)
傲立	(ào lì)
傲慢	(ào màn)
傲慢無禮	(ào màn wú lǐ)
傲慢與偏見	(ào màn yǔ piān jiàn)
傲睨	(ào nì)
傲氣	(ào qì)
傲然	(ào rán)
傲人	(ào rén)
傲視	(ào shì)
傲視群倫	(ào shì qún lún)
奧	(ào)
奧波萊	(ào bō lái)
奧布里	(ào bù lǐ)
奧黛	(ào dài)
奧黛莉	(ào dài lì)
奧黛麗	(ào dài lì)
奧德賽	(ào dé sài)
奧德修斯	(ào dé xiū sī)
奧地利	(ào dì lì)
奧迪	(ào dí)
奧迪修斯	(ào dí xiū sī)
奧丁	(ào dīng)
奧丁諧振器	(ào dīng xié zhèn qì)
奧爾巴尼	(ào ěr bā ní)
奧爾德尼島	(ào ěr dé ní dǎo)
奧爾德斯·赫胥黎	(ào ěr dé sī hè xū lí)
奧爾良	(ào ěr liáng)
奧古斯都	(ào gǔ sī dū)
奧古斯塔	(ào gǔ sī tǎ)
奧國	(ào guó)
奧胡斯	(ào hú sī)
奧會	(ào huì)
奧迹	(ào jì)
奧卡姆剃刀	(ào kǎ mǔ tì dāo)
奧康納	(ào kāng nà)
奧康內爾	(ào kāng nèi ěr)
奧克拉荷馬	(ào kè lā hé mǎ)
奧克蘭	(ào kè lán)
奧克蘇斯河	(ào kè sū sī hé)
奧客	(ào kè)
奧臘涅斯塔德	(ào là niè sī tǎ dé)
奧賴恩	(ào lài ēn)
奧蘭多	(ào lán duō)
奧蘭群島	(ào lán qún dǎo)
